parola;word;colore;corrAns;congruente;HumanLoop.thisRepN;HumanLoop.thisTrialN;HumanLoop.thisN;HumanLoop.thisIndex;FullPracticeLoop.thisRepN;FullPracticeLoop.thisTrialN;FullPracticeLoop.thisN;FullPracticeLoop.thisIndex;PracticeLoop.thisRepN;PracticeLoop.thisTrialN;PracticeLoop.thisN;PracticeLoop.thisIndex;ControbilanciamewntoLoop.thisRepN;ControbilanciamewntoLoop.thisTrialN;ControbilanciamewntoLoop.thisN;ControbilanciamewntoLoop.thisIndex;ItaLoop.thisRepN;ItaLoop.thisTrialN;ItaLoop.thisN;ItaLoop.thisIndex;EngLoop.thisRepN;EngLoop.thisTrialN;EngLoop.thisN;EngLoop.thisIndex;human_txt.started;human_txt.stopped;math_txt.started;math_txt.stopped;textbox.text;textbox.started;textbox.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;practice_ms.x;practice_ms.y;practice_ms.leftButton;practice_ms.midButton;practice_ms.rightButton;practice_ms.time;practice_ms.clicked_name;practice_ms.started;practice_ms.stopped;fixation_txt.started;fixation_txt.stopped;blocco;order;practice_txt.started;practice_txt.stopped;practice_kb.keys;practice_kb.corr;practice_kb.rt;practice_kb.started;practice_kb.stopped;eng_txt.started;eng_txt.stopped;eng_kb.keys;eng_kb.corr;eng_kb.rt;eng_kb.started;eng_kb.stopped;ita_txt.started;ita_txt.stopped;ita_kb.keys;ita_kb.corr;ita_kb.rt;ita_kb.started;ita_kb.stopped;likert_txt.started;likert_txt.stopped;likert_sld.response;likert_sld.rt;likert_sld.started;likert_sld.stopped;likert_bt.numClicks;likert_bt.timesOn;likert_bt.timesOff;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.527401055995142;None;12.527401055995142;None;10;12.527401055995142;None;12.527401055995142;None;1;[10.132124416995794];[10.132128339988412];[-0.22857142857142856];[-0.22095238095238096];[1];[0];[0];[2.512070374999894];['blue_img'];22.633957026002463;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;blue;right;cong;;;;;0;0;0;0;0;0;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.42461745199398;None;PRACTICE;ENG_ITA;26.932320221007103;None;right;1;0.8718167160113808;26.932320221007103;None;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;blue;right;cong;;;;;0;0;0;0;0;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.835858686012216;None;PRACTICE;ENG_ITA;29.335955910995835;None;right;1;0.5924401319934987;29.335955910995835;None;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;red;left;incong;;;;;0;0;0;0;0;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.96514471701812;None;PRACTICE;ENG_ITA;31.46518557300442;None;left;1;0.5660979269596282;31.46518557300442;None;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;red;left;incong;;;;;0;0;0;0;0;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.04804559101467;None;PRACTICE;ENG_ITA;33.54775383300148;None;left;1;0.6538468349899631;33.54775383300148;None;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;blue;right;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;36.32447853000485;None;ENG;ENG_ITA;;;;;;;;36.830903815018246;None;right;1;0.5860629829985555;36.830903815018246;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;green;down;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;1;1;9;;;;;;;;;;;;;;;;;;;;;;37.447963375016116;None;ENG;ENG_ITA;;;;;;;;37.9479343300045;None;down;1;0.49276861699763685;37.9479343300045;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;red;left;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;2;2;8;;;;;;;;;;;;;;;;;;;;;;38.46503719300381;None;ENG;ENG_ITA;;;;;;;;38.965038534021005;None;left;1;0.39618441998027265;38.965038534021005;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;green;down;cong;;;;;;;;;;;;;0;0;0;0;;;;;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;39.3813090469921;None;ENG;ENG_ITA;;;;;;;;39.88118481601123;None;down;1;0.604078598000342;39.88118481601123;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;blue;right;cong;;;;;;;;;;;;;0;0;0;0;;;;;0;4;4;11;;;;;;;;;;;;;;;;;;;;;;40.51470363201224;None;ENG;ENG_ITA;;;;;;;;41.01463014201727;None;right;1;0.3665168489969801;41.01463014201727;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
