parola;word;colore;corrAns;congruente;HumanLoop.thisRepN;HumanLoop.thisTrialN;HumanLoop.thisN;HumanLoop.thisIndex;FullPracticeLoop.thisRepN;FullPracticeLoop.thisTrialN;FullPracticeLoop.thisN;FullPracticeLoop.thisIndex;PracticeLoop.thisRepN;PracticeLoop.thisTrialN;PracticeLoop.thisN;PracticeLoop.thisIndex;ControbilanciamewntoLoop.thisRepN;ControbilanciamewntoLoop.thisTrialN;ControbilanciamewntoLoop.thisN;ControbilanciamewntoLoop.thisIndex;ItaLoop.thisRepN;ItaLoop.thisTrialN;ItaLoop.thisN;ItaLoop.thisIndex;EngLoop.thisRepN;EngLoop.thisTrialN;EngLoop.thisN;EngLoop.thisIndex;human_txt.started;human_txt.stopped;math_txt.started;math_txt.stopped;textbox.text;textbox.started;textbox.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;practice_ms.x;practice_ms.y;practice_ms.leftButton;practice_ms.midButton;practice_ms.rightButton;practice_ms.time;practice_ms.clicked_name;practice_ms.started;practice_ms.stopped;fixation_txt.started;fixation_txt.stopped;blocco;order;practice_txt.started;practice_txt.stopped;practice_kb.keys;practice_kb.corr;practice_kb.rt;practice_kb.started;practice_kb.stopped;ita_txt.started;ita_txt.stopped;ita_kb.keys;ita_kb.corr;ita_kb.rt;ita_kb.started;ita_kb.stopped;eng_txt.started;eng_txt.stopped;eng_kb.keys;eng_kb.corr;eng_kb.rt;eng_kb.started;eng_kb.stopped;likert_txt.started;likert_txt.stopped;likert_sld.response;likert_sld.rt;likert_sld.started;likert_sld.stopped;likert_bt.numClicks;likert_bt.timesOn;likert_bt.timesOff;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.718474099005107;None;14.718474099005107;None;6;14.718474099005107;None;14.718474099005107;None;1;[4.736183372995583];[4.73618757998338];[-0.34285714285714286];[-0.10666666666666667];[1];[0];[0];[5.3125869119830895];['blue_img'];19.426221818022896;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;blue;right;incong;;;;;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.08129343300243;None;PRACTICE;ITA_ENG;26.59469086001627;None;right;1;1.506988499982981;26.59469086001627;None;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;green;down;incong;;;;;0;0;0;0;0;1;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.140761965012643;None;PRACTICE;ITA_ENG;29.640512971003773;None;down;1;0.6021314229583368;29.640512971003773;None;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;red;left;incong;;;;;0;0;0;0;0;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.274442360008834;None;PRACTICE;ITA_ENG;31.77441265701782;None;left;1;0.5256516929657664;31.77441265701782;None;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;red;left;cong;;;;;0;0;0;0;0;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.32417513200198;None;PRACTICE;ITA_ENG;33.82473500302876;None;left;1;0.4624456059827935;33.82473500302876;None;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;red;left;incong;;;;;;;;;;;;;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;36.19321817002492;None;ITA;ITA_ENG;;;;;;;;36.70717604801757;None;left;1;0.5026363959768787;36.70717604801757;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;green;down;incong;;;;;;;;;;;;;0;0;0;0;0;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;37.24090902801254;None;ITA;ITA_ENG;;;;;;;;37.74100144402473;None;down;1;0.6275184229598381;37.74100144402473;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;green;down;cong;;;;;;;;;;;;;0;0;0;0;0;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;38.39058340500924;None;ITA;ITA_ENG;;;;;;;;38.89062522500171;None;down;1;0.42182598597719334;38.89062522500171;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;red;left;cong;;;;;;;;;;;;;0;0;0;0;0;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;39.34071743200184;None;ITA;ITA_ENG;;;;;;;;39.84194382702117;None;left;1;0.5044692349911202;39.84194382702117;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;green;down;cong;;;;;;;;;;;;;0;0;0;0;0;4;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;40.37396856400301;None;ITA;ITA_ENG;;;;;;;;40.87392615902354;None;left;0;0.4353725219843909;40.87392615902354;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
